index,accuracy,ECE
0,0.0,0.13593500028130004
1,0.0,0.13593500028130004
2,0.1923076183432237,0.13593500028130004
3,0.18441064288192696,0.13593500028130004
4,0.25159574334257584,0.13593500028130004
5,0.32846087563000487,0.13593500028130004
6,0.4772516226682841,0.13593500028130004
7,0.604359309086134,0.13593500028130004
8,0.7250673789302122,0.13593500028130004
9,0.8450703987304113,0.13593500028130004
10,0.8723403327297518,0.13593500028130004
11,0.9999991666673611,0.13593500028130004
12,0.0,0.13593500028130004
13,0.0,0.13593500028130004
14,0.0,0.13593500028130004
15,0.0,0.13593500028130004
16,0.0,0.13593500028130004
17,0.0,0.13593500028130004
18,0.0,0.13593500028130004
19,0.0,0.13593500028130004
